fname,ridge,lasso,enr,dt,ridge_lasso_enr_dt
D1656_D1657_D1658.csv,376703.12900988525,442638.0890352358,405141.0102961048,9457.860795312117,424749.6630561489
D1660_D1661_D1662.csv,61285.17696741431,60173.777452107766,60236.49340732245,55382.0945026369,78938.43119489012
D2059_D2060_D2061.csv,555528.151789486,599177.3180302265,595208.7423656979,4913.352388526321,611271.5602373778
D1615_D1616_D1617.csv,159955.83254355707,170798.83743542113,168688.34785698866,10511.664737654319,168667.55115837645
D49_D50_D51.csv,875097.8497399645,874272.6101209031,874300.4329257496,2036.793610312782,823236.6316713237
D1625_D1626_D1627.csv,5118626.428647115,5947392.043757928,5457819.909495265,240224.30725762533,5352112.739513282
D152_D153_D154.csv,36508985.058767654,34935069.46895678,34835074.13299954,145574.24663662486,33092639.35509659
D169_D170_D171.csv,47533352.800758384,49192493.12213301,49192493.12213301,404645.74015040445,46882247.41345732
D2075_D2076_D2077.csv,12735690.00623671,13104241.429652272,13091569.242615795,1015583.7333567335,12730159.846458139
D3613_D3614_D3615.csv,30535360.911256645,30500512.3174442,30500794.066291284,3750.9863903155488,30502901.46954761
D3619_D3620_D3621.csv,1640035.7505875947,305649.96637689887,1004097.6437745591,179.2490137882895,1500435.3818905356
D1632_D1633_D1634.csv,29580.447470262774,32044.28642130457,29652.066782745307,11468.49099999999,42243.621811056895
D168_D169_D170.csv,47272219.59731978,46587787.90188734,46596517.68105901,425352.4463336689,46777930.18330343
D3603_D3604_D3605.csv,3611748.9869611273,3974682.7167393537,3974682.7167393537,7229.7445578312645,3900300.834414293
D175_D176_D177.csv,34643375.082424305,34499162.63519102,34590854.05653681,163359.1736054103,34885583.270087734
D145_D146_D147.csv,21102495.004019305,21082890.52761668,21084234.752881516,1597.7756652426601,21184545.130071566
D15_D16_D17.csv,4353294.83720211,4331583.9991620425,4238930.754922534,68786.89453472223,4353694.505525628
D158_D159_D160.csv,779178.9093619436,806238.6568122893,814175.9703144651,21378.481536458316,817859.7317512222
D1659_D1660_D1661.csv,21775045.292428866,21452332.407635976,21453141.649049092,2041.7938837293625,21405903.355893664
D2083_D2084_D2085.csv,1778694.7894736843,1778694.7894736843,1778694.7894736843,7319694.736842105,1778694.7894736843
D46_D47_D48.csv,105362651.13236415,105364179.45054325,105363912.50631948,0.006057887783446861,105363572.10361743
D146_D147_D148.csv,9878299.555717062,9559673.79247531,9527412.327018019,39885.5067416072,9765768.332410628
D2065_D2066_D2067.csv,1068474.7667447454,1066843.0873053262,1054593.498785338,3304.4290812978634,1116005.5667251765
D37_D38_D39.csv,41749.763292854805,70621.06064984656,39716.3686367986,10040.35463853485,72637.58154705694
D2055_D2056_D2057.csv,112168.11869805717,112433.83250470794,112042.26484033691,1098.407561025923,111105.05124199404
D2044_D2045_D2046.csv,27959542.935929745,27546753.601536237,27776242.606946044,38322.68247068027,27545185.524623435
D129_D130_D131.csv,3039037.607172101,2823159.826361651,2830279.930559901,47153.81235827666,2877969.7792168465
D3630_D3631_D3632.csv,1037934.6074934986,1017605.3858170897,1086740.939389526,24101.26362754859,952867.0379210692
D2074_D2075_D2076.csv,1640969.7535574634,3603527.2572164573,3504592.180868984,11221363.992094988,6720563.245826815
D162_D163_D164.csv,68289.58461807609,51839.071415957485,92193.36766902148,18824.105520823756,74897.67329616449
D3639_D3640_D3641.csv,12394306.022576531,12330193.690370584,12335199.082513485,37140.4597505669,12113054.036796894
D1642_D1643_D1644.csv,4873349.485883465,5009604.394579969,5010354.472013739,13145.033055110935,4953298.108795333
D1628_D1629_D1630.csv,7075685.23951749,7190117.343218394,7178613.2435512915,43288.94482256671,7409443.692914425
D3616_D3617_D3618.csv,108258.46736259777,118103.20908094355,115238.69667991826,1799.5479897002804,114876.61769918383
D1622_D1623_D1624.csv,27662685.080527544,27692749.23157689,27688915.156566747,18621.972980927312,28445084.77572293
D2057_D2058_D2059.csv,10516.87780286722,11655.412764350747,11664.797160349059,3902.967857142858,8825.766471121216
D154_D155_D156.csv,18069545.74506113,17636384.502102047,17953096.427595712,116869.65666981011,17870304.839189578
D1645_D1646_D1647.csv,99288.29179421112,92382.27706324737,96263.87312180261,5023.472439234764,87770.8495249098
D170_D171_D172.csv,29955.82491392064,26999.579580571637,26982.707786062983,49982.252500466035,29863.194420984546
D4_D5_D6.csv,584802.4794451367,603712.0443853607,595303.0674706198,41.3406974216777,602735.5235478447
D3636_D3637_D3638.csv,25552982.103946622,25757270.641089812,25723021.33907938,50736.534651796814,24318833.163862225
D2052_D2053_D2054.csv,6733819.879678974,6719620.283698659,6737254.009866694,3791.5541666666663,6852322.080972186
D149_D150_D151.csv,4139311.9767061756,3998421.53099879,4101914.214167841,26449.068717193535,4054266.2991697965
D3610_D3611_D3612.csv,105552183.82261229,102548739.19201842,105932650.32567368,254378.29371806083,100330590.0196923
D2077_D2078_D2079.csv,2139379.5970788547,1764791.17323882,1757414.6468669071,13477.744079518987,1605179.4732273095
D3600_D3601_D3602.csv,17071687.385346495,17080825.31330446,17059908.563475907,673.6732767905335,17050466.80626422
D1631_D1632_D1633.csv,5061395.319437762,4901410.736212544,5127464.078944135,76275.70240457155,4885020.524984961
D2070_D2071_D2072.csv,1235862.796389419,1170792.768840825,1236643.8719957313,6055.925081279415,1221477.119034542
D1618_D1619_D1620.csv,994765.25015322,1140190.7979083706,959732.0519464889,55349.532273984936,954458.0303577578
D3642_D3643_D3644.csv,6991679.212911712,6125872.27456594,6601990.44968311,328833.2597966084,6838753.617892532
D1626_D1627_D1628.csv,21119.054918429963,37574.173742171704,17207.84787790673,29348.9646910502,82490.16524790497
D2078_D2079_D2080.csv,1088302.230463587,1126775.5771476843,1129931.7772945405,29290.942916328626,963179.0008359351
D3625_D3626_D3627.csv,466372.1739936611,338093.884602033,331871.4970336073,192451.55298826113,312462.9184184188
D2072_D2073_D2074.csv,640140.855871008,615552.9011561183,634283.3287559937,183829.7797203135,607408.5396208694
D36_D37_D38.csv,7555687.67143755,7063561.966942398,7063561.966942398,9629.347903080767,7063522.114618998
D2064_D2065_D2066.csv,1719272.0996930308,1501807.0639237934,1501807.0639237934,3977.799332198437,1563865.4517721047
D31_D32_D33.csv,13188356.462987883,13038672.638201749,13041833.082740799,124050.76471233593,12844485.763168793
D40_D41_D42.csv,47103676.62156405,47607511.892659545,47529531.19220411,631085.4360310232,45444641.30373449
