fname,xgb,lasso,enr,dt,ridge_lasso_enr_dt
D1637.csv,53518.5384592759,177707.9631806567,222439.03267229378,73266.64526139808,92834.98529000212
D3623.csv,559.9926402215605,579.5056888364873,1027.410711672481,332.8703703703704,296.5194619389116
D2052.csv,55996.9049977541,414454.26622192963,63165.99981074451,88027.64964285717,54673.28346573635
D3618.csv,1328.955991230905,1504.37925941429,1258.9459679140837,949.0493708946083,688.39503513168
D136.csv,743581.3369817436,1622646.591481577,1070876.0627616304,461906.81166531245,393076.9126389948
D41.csv,5329909.031002745,450654.13229409157,450846.47743712674,5108034.176875,5650179.645389546
D1643.csv,29284.536827434164,9924.574317876928,9985.318984797917,36133.18365488683,34487.48409733781
D2050.csv,10869.70305880918,2521.94384857808,2521.9767982858393,2145.666110655742,1877.2527868981235
D2065.csv,20962.112977179346,4255.41075624853,4255.41075624853,8941.365833085005,9371.751639020178
D32.csv,14275.3791814295,31616.92946564366,19860.821319099217,13080.051738281276,21868.34386441523
D46.csv,158698.36311159134,207902.95461499406,207708.9751050728,103002.54382716073,106743.13693260071
D162.csv,1827.511337563254,1245.9393625241707,1185.4191527376304,841.9314540816322,1869.4963948773498
D31.csv,14275.3791814295,31616.92946564366,19860.821319099217,13080.051738281276,21868.34386441523
D2061.csv,6754.543335448354,2418.0289215550706,2445.225080130306,12285.8063434606,11331.982608907174
D176.csv,204977.19570288682,24936.580548655937,26037.387027458914,105947.21046300614,110644.58898418155
D168.csv,525.4842892317042,387.5682761157736,387.13020236416196,357.9153495580756,326.30425870896073
D3613.csv,354520.2104877683,103830.94324380414,103551.93447160721,276539.6516393443,445459.694427607
D2079.csv,33412.959068415315,14874.899778632049,14874.899778632049,6131.815166446389,4421.197922585694
D2085.csv,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105
D2076.csv,18021441.70287332,249411.74729023682,249834.82677471588,23332696.264264263,18875380.6640141
D3640.csv,35243.5993205634,44624.27809166825,44231.432110838905,24325.410672404527,41078.17169843752
D154.csv,75628.09588709942,159690.87684353153,126604.41822191305,108555.68714249987,92763.09488838956
D3596.csv,4979.703608703443,2945.569278988295,1903.3402804007849,2035.0408518067184,2429.2225019657317
D3620.csv,352.05683246130076,16491.869401555803,341178.59573143796,98.48651996527774,9423.346785061201
D30.csv,6348.033183236342,1417.7531719287897,1736.9348630258169,859.0131423190181,750.2640104667055
D3616.csv,3572.2226846675403,1651.8501532438415,1651.9918443407914,2929.613256626059,3806.470314091907
D1644.csv,276381.61758442223,273074.0542725022,273056.3576587035,102181.99939236106,79997.44480031542
D1654.csv,125586.27055446307,325551.93074185646,463155.3235431069,100303.98148148149,84414.18135996183
D1645.csv,14864.576842397593,1612.7261271336224,1612.7370479383815,13409.71718309859,18564.542178071788
D174.csv,246.63618944831376,168.3812519690688,168.83784551204522,240.2669507812175,141.79921992019993
D5.csv,39846.976372995414,53927.65807681218,52161.851640304725,39763.030421874966,96835.49952834708
D3644.csv,31937.558550540358,56442.4730692632,62136.8132231324,32822.22729486421,27189.30139966467
D156.csv,208996.30567284147,38454.4787391532,38489.48019530354,45619.56947266883,44815.20348766102
D132.csv,15942352.952944811,2195221.539769111,2241620.5261057587,7750000.0,8251191.470354197
D40.csv,22307.653795240505,5503.09057132959,5503.09057132959,10291.48761041849,9375.84696565686
D3610.csv,18975267.467819307,7661411.76710887,7058577.238937718,71531.25,69749.76373235704
D3631.csv,584.5332290883437,497.1721036299955,455.9655603201826,406.84260227272694,289.07371206744835
D169.csv,825.1030091545371,538.6128849890188,534.2830371936808,529.2904995390098,321.38296918553954
D2046.csv,30469.97475139722,11334.427702468423,12963.097838246626,16052.031204899919,6865.342950134068
D2047.csv,32358.12429341316,25193.397177179737,24636.88610646367,24537.785774708056,30243.40214168778
D50.csv,0.0003784961403533845,0.0008782314077308388,0.0008787289624233141,0.00046888079166665185,0.0003521415890081293
D2041.csv,322229.0792768657,42321.08493455213,42321.03783583569,214684.01332216104,213651.60495560244
D37.csv,83516.20419697977,92212.19298755577,92244.4540968752,14501.285362420815,9246.909983345722
D151.csv,41829.38919233099,23620.789018095456,15987.457997861324,12974.949686385606,19411.258682753047
D7.csv,338003.49587101344,398560.4461407924,334349.287901128,108509.46604694189,169828.018080222
D160.csv,3209.4400086570777,4031.422839507385,3590.4812586376165,5118.326577854844,3413.7947931539447
D2071.csv,4915.454493903372,4313.87539815398,3355.3670700563116,2183.5664244944314,3364.863387760075
D2054.csv,1333.9368499296052,3428.3751140227905,3524.810499255399,1058.6584215167534,1220.2455586775225
D148.csv,51573.24452024808,312595.0169958682,87924.15260736576,37086.671739568665,29240.11668274667
D164.csv,21880.113162002926,19869.65709048566,24029.709196400538,18674.216777777772,20512.317472382412
D49.csv,6604427.201956825,6543068.420575043,6543066.259736152,6604799.671500001,6508947.545030123
D1633.csv,55835.99024593234,81312.53698961184,76771.39736834334,35555.32554563492,24209.459697452992
D3617.csv,6244.20503877894,3638.7087502262866,3455.2551911514,1420.562739659356,2026.2938979363573
D27.csv,31938.65819896002,2575.041066944652,2573.355518062627,66907.70232353297,15695.298183337582
D2040.csv,25324.97338257444,19030.765867755275,13581.36667467035,10641.927485838018,14289.028232946937
D2077.csv,4595932.960480824,254462.9997338539,261980.36630591477,4542225.175,4852470.747645176
D2049.csv,1924.2977309989078,5051.282796921356,3390.4105410798943,1566.8901915535116,1267.0194536785957
D155.csv,3537.7619737168257,1796.7940404201704,1781.385095864709,1825.2053897569451,1426.6329180781438
D3627.csv,64483.75773654381,596243.846121132,442602.07997409144,81808.5605129611,48580.47557073151
D47.csv,275.8301429191605,556.0273547718443,542.4325102202336,210.99901701388936,88.15117991810033
D2083.csv,890265.4246279242,397788.3645553805,389716.1540342448,431102.8262134218,441377.8963671535
D3638.csv,390319.677743005,29622.870643348735,29624.006460285647,46540.733830480494,68192.11865954858
D131.csv,29506.84228566885,275710.94803320244,142752.32857783706,17656.25,30204.666273131756
D163.csv,4410.845864352315,6148.26288014316,5189.494671988758,3643.928361111111,3205.140265524567
D3600.csv,25387.806715183855,70451.02485553977,70948.85251010853,84194.0628064238,10929.429012025816
D2059.csv,4163.74593876132,1902.0424278517005,1735.3292176353532,2947.6337142857105,3383.6513765981285
D1623.csv,205193.2459188193,542910.9812733831,390202.9799106582,101010.3103286026,106722.3958501139
