fname,ridge,lasso,enr,dt,ridge_lasso_enr_dt
D1637.csv,92103.30331608129,177707.9631806567,222439.03267229378,73266.64526139808,86648.93375668298
D3623.csv,543.5057523849723,579.5056888364873,1027.410711672481,332.8703703703704,282.8869606353973
D2052.csv,77585.48692479658,414454.26622192963,63165.99981074451,88027.64964285717,52774.68590571638
D3618.csv,1086.4816629927207,1504.37925941429,1258.9459679140837,949.0493708946083,587.654332933654
D136.csv,1038744.5385389712,1622646.591481577,1070876.0627616304,461906.81166531245,128063.8547871264
D41.csv,444229.0677797653,450654.13229409157,450846.47743712674,5108034.176875,380998.5175142575
D1643.csv,21646.029481462112,9924.574317876928,9985.318984797917,36133.18365488683,8794.506595665078
D2050.csv,2370.306967270087,2521.94384857808,2521.9767982858393,2145.666110655742,1667.1510529850298
D2065.csv,4253.313918405721,4255.41075624853,4255.41075624853,8941.365833085005,1142.2422533403349
D32.csv,19473.94205683974,31616.92946564366,19860.821319099217,13080.051738281276,10820.16061439915
D46.csv,202276.5984552924,207902.95461499406,207708.9751050728,103002.54382716073,89044.55843667795
D162.csv,1184.831663590592,1245.9393625241707,1185.4191527376304,841.9314540816322,939.0533810732413
D31.csv,19473.94205683974,31616.92946564366,19860.821319099217,13080.051738281276,10820.16061439915
D2061.csv,2419.1125751135137,2418.0289215550706,2445.225080130306,12285.8063434606,2434.3933996589385
D176.csv,29533.04583132384,24936.580548655937,26037.387027458914,105947.21046300614,16526.228486790333
D168.csv,560.8370841732166,387.5682761157736,387.13020236416196,357.9153495580756,314.7316385162844
D3613.csv,102994.37468319395,103830.94324380414,103551.93447160721,276539.6516393443,114871.77698713391
D2079.csv,13054.589313610715,14874.899778632049,14874.899778632049,6131.815166446389,1784.6416370648913
D2085.csv,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105
D2076.csv,250877.10856033268,249411.74729023682,249834.82677471588,23332696.264264263,288285.1390985491
D3640.csv,32650.36793100259,44624.27809166825,44231.432110838905,24325.410672404527,29386.51144019067
D154.csv,126558.72065926972,159690.87684353153,126604.41822191305,108555.68714249987,92582.26082079673
D3596.csv,1512.3130020660903,2945.569278988295,1903.3402804007849,2035.0408518067184,1400.5262692523825
D3620.csv,18431.03814378214,16491.869401555803,341178.59573143796,98.48651996527774,167.79434639569865
D30.csv,1552.87328358902,1417.7531719287897,1736.9348630258169,859.0131423190181,706.7269209518543
D3616.csv,1462.4485803992516,1651.8501532438415,1651.9918443407914,2929.613256626059,1326.1066594951685
D1644.csv,243163.12153016945,273074.0542725022,273056.3576587035,102181.99939236106,86918.59020432999
D1654.csv,261301.62291068712,325551.93074185646,463155.3235431069,100303.98148148149,87133.40029581716
D1645.csv,1609.4241740760626,1612.7261271336224,1612.7370479383815,13409.71718309859,1101.5314423420737
D174.csv,170.82543724151324,168.3812519690688,168.83784551204522,240.2669507812175,143.05839229779951
D5.csv,6470.743545996129,53927.65807681218,52161.851640304725,39763.030421874966,878.85409368535
D3644.csv,55006.55084137844,56442.4730692632,62136.8132231324,32822.22729486421,28323.371733949643
D156.csv,54595.63541755879,38454.4787391532,38489.48019530354,45619.56947266883,15376.983175956662
D132.csv,1863344.6641352403,2195221.539769111,2241620.5261057587,7750000.0,554202.6930605179
D40.csv,5446.978455838105,5503.09057132959,5503.09057132959,10291.48761041849,5044.505717506804
D3610.csv,1223804.930676227,7661411.76710887,7058577.238937718,71531.25,64624.949596662715
D3631.csv,385.4548332887464,497.1721036299955,455.9655603201826,406.84260227272694,296.4235880320872
D169.csv,488.7131219989315,538.6128849890188,534.2830371936808,529.2904995390098,269.27598925219803
D2046.csv,11346.25268453587,11334.427702468423,12963.097838246626,16052.031204899919,10125.013628086124
D2047.csv,25432.967611156644,25193.397177179737,24636.88610646367,24537.785774708056,34948.29148642205
D50.csv,0.002344182788592701,0.0008782314077308388,0.0008787289624233141,0.00046888079166665185,0.00036014072325992
D2041.csv,40568.651490229575,42321.08493455213,42321.03783583569,214684.01332216104,26458.549930919875
D37.csv,192815.68506320927,92212.19298755577,92244.4540968752,14501.285362420815,10447.13853255176
D151.csv,11234.223693313681,23620.789018095456,15987.457997861324,12974.949686385606,11618.93720204359
D7.csv,363058.7223565293,398560.4461407924,334349.287901128,108509.46604694189,168316.05906876145
D160.csv,3506.749755654078,4031.422839507385,3590.4812586376165,5118.326577854844,1869.6748307063178
D2071.csv,1878.2380005040422,4313.87539815398,3355.3670700563116,2183.5664244944314,1843.939867658433
D2054.csv,2680.829073548724,3428.3751140227905,3524.810499255399,1058.6584215167534,948.4207258767128
D148.csv,35578.64874780025,312595.0169958682,87924.15260736576,37086.671739568665,31921.264006764297
D164.csv,29514.582623774262,19869.65709048566,24029.709196400538,18674.216777777772,17658.135922570065
D49.csv,6554492.113065889,6543068.420575043,6543066.259736152,6604799.671500001,5297876.553935456
D1633.csv,43589.23509543761,81312.53698961184,76771.39736834334,35555.32554563492,33438.74270021495
D3617.csv,2932.299651292249,3638.7087502262866,3455.2551911514,1420.562739659356,1047.0416266623413
D27.csv,2559.631448788702,2575.041066944652,2573.355518062627,66907.70232353297,2089.741385896334
D2040.csv,10408.96107613773,19030.765867755275,13581.36667467035,10641.927485838018,8759.767812750366
D2077.csv,272422.30470970896,254462.9997338539,261980.36630591477,4542225.175,210965.03079306064
D2049.csv,1831.783245210512,5051.282796921356,3390.4105410798943,1566.8901915535116,1537.9260758232754
D155.csv,1832.7152530781284,1796.7940404201704,1781.385095864709,1825.2053897569451,1400.3241901986542
D3627.csv,60512.93472190589,596243.846121132,442602.07997409144,81808.5605129611,52439.19158661934
D47.csv,242.69988201177216,556.0273547718443,542.4325102202336,210.99901701388936,169.61979948818157
D2083.csv,324046.8716536178,397788.3645553805,389716.1540342448,431102.8262134218,99682.32385813301
D3638.csv,29623.912240589223,29622.870643348735,29624.006460285647,46540.733830480494,22622.56077314067
D131.csv,24217.840659894333,275710.94803320244,142752.32857783706,17656.25,29134.05204289361
D163.csv,3789.60713326096,6148.26288014316,5189.494671988758,3643.928361111111,3482.0028818359847
D3600.csv,15919.36115118126,70451.02485553977,70948.85251010853,84194.0628064238,7676.459192279055
D2059.csv,1921.1857696034833,1902.0424278517005,1735.3292176353532,2947.6337142857105,1020.3189779050033
D1623.csv,113467.69478540725,542910.9812733831,390202.9799106582,101010.3103286026,90242.92782876908
