fname,xgb,lasso,dt,xgb_lasso_dt
D1656_D1657_D1658.csv,0.3481564996919647,0.31522661399437,0.030680223931709823,0.32122126004935
D1660_D1661_D1662.csv,0.03997912168812216,0.11946873692504982,0.14207580504808942,0.03554500168343134
D2059_D2060_D2061.csv,0.49251440028802357,0.5150146956692192,0.02612903604015229,0.5174395213323189
D1615_D1616_D1617.csv,0.08262382481716724,0.09677277479940508,0.021633298461162204,0.09217121375685104
D49_D50_D51.csv,9.038609897516004,9.373171510955643,0.04091992336521372,9.094928264970255
D1625_D1626_D1627.csv,0.8181292009086892,0.6854010251865676,0.07818807524645568,0.7911813901501958
D152_D153_D154.csv,3.1712623712015513,3.0844808336608365,0.041202776860608546,3.0999278959085905
D169_D170_D171.csv,5.5666914005031085,5.920528243751176,0.06158948955365876,5.711548917026947
D2075_D2076_D2077.csv,0.7069284503866563,0.6064675822593127,0.28030082150556634,0.706474252661695
D3613_D3614_D3615.csv,0.7578450461035361,0.7485824693107466,0.029970452389048927,0.7573439610553618
D3619_D3620_D3621.csv,0.7456422064208637,0.329428532967369,0.028930595645809545,0.7572050142379045
D1632_D1633_D1634.csv,0.10227961662768932,0.14612490312443296,0.06476876215761213,0.11548454534916996
D168_D169_D170.csv,5.503317181253106,5.68435749098216,0.06564235567924084,5.529337549547509
D3603_D3604_D3605.csv,2.0987940048926697,2.1878330502235372,0.023998202117487582,2.2414194257678273
D175_D176_D177.csv,5.488832753469484,5.741998463089959,0.044745370344190113,5.607962268940979
D145_D146_D147.csv,0.9160256405186633,0.9257476838945976,0.09899622306703532,0.9218334198616054
D15_D16_D17.csv,1.3789194527131627,1.50469077997514,0.06553448039946516,1.4151865403689112
D158_D159_D160.csv,0.7804356639496086,0.7570451168478862,0.05676165334238066,0.7843056052850883
D1659_D1660_D1661.csv,0.7477170310294612,0.7451141728318385,0.0224085396543415,0.7446431375353385
D2083_D2084_D2085.csv,0.3572365011691295,0.3572365011691295,0.23734450190356124,0.3572365011691295
D46_D47_D48.csv,0.9904303635823274,0.9904308896520883,0.0006871266605306815,0.990428377660254
D146_D147_D148.csv,3.000796774561807,2.872924844757936,0.03973410932853132,2.856291659852837
D2065_D2066_D2067.csv,0.37233510196788394,0.358471594463658,0.024784193959816365,0.3656591919661127
D37_D38_D39.csv,0.059591379631098035,0.10260244422353162,0.030578999032133073,0.06829152422703275
D2055_D2056_D2057.csv,0.2810056812585819,0.2956157510677113,0.016410785104134854,0.284972560247183
D2044_D2045_D2046.csv,0.6219907921581971,0.6391028492271298,0.057096615320022526,0.6458606379612467
